,GX000-01-10544170,GX000-09-2703409,GX000-10-4524900,GX000-14-10770491,GX000-14-16748010,GX000-14-5445022,GX000-16-0145015,GX000-16-4063715,GX000-21-2440731,GX000-22-12322384
soft,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tissu,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarcoma,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melanoma,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
through,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506891382573954
clinic,0.7986265782046758,0.0,0.0,0.5208344124328843,0.0,0.0,0.0,0.0,0.0,0.0
trial,0.8530070721169362,0.0,0.0,0.0,0.0,0.0,0.0,0.5048554207575942,0.0,0.5056397579568978
broader,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
understand,0.5663614618232613,0.0,0.5497710963674459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
treatment,0.6659036545581533,0.0,0.0,0.0,0.0,0.0,0.0,0.535597870249564,0.0,0.0
attain,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
factor,0.5663614618232613,0.0,0.0,0.0,0.0,0.0,0.5497710963674459,0.0,0.0,0.0
contribut,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.5118659567498547,0.0,0.0
valu,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
spontan,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relev,0.5331807309116307,0.5056701249026204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
they,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.517798935124782,0.0,0.0
counterpart,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case,0.5610340160371172,0.0,0.5305170080185586,0.5766473689768449,0.0,0.0,0.0,0.5218267342119493,0.0,0.6352138201437674
ident,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.624592545873474,0.0,0.0
rate,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.5118659567498547,0.0,0.0
chemotherapi,0.5888109360295692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
environment,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
risk,0.5231993142313957,0.5237866386423171,0.0,0.0,0.0,0.0,0.5347989713470935,0.512444665249954,0.0,0.0
owner,0.5406893440247448,0.5034766211666712,0.0,0.5127745614961408,0.0,0.0,0.0,0.5036377890353249,0.0,0.5042254318794928
in,0.5328630812963298,0.5084237645095022,0.5492946219444946,0.0,0.0,0.5221825798750226,0.0,0.544071350745078,0.5012462123525293,0.5068254091923147
preval,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.524885548183723,0.0,0.0,0.0
suffici,0.5331807309116307,0.5056701249026204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rapidli,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complet,0.5271543901628413,0.5046403071797261,0.0,0.0,0.0,0.0,0.0,0.5242771037879707,0.0,0.0
size,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
make,0.5181635046854023,0.5186233402470581,0.554490514056207,0.5228099826281797,0.0,0.0,0.0,0.5454689057687555,0.0,0.5075448404077825
evalu,0.5927972569255828,0.5039644397737195,0.5347989713470935,0.0,0.0,0.0,0.5173994856735468,0.0,0.0,0.0
protocol,0.5331807309116307,0.5056701249026204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feasibl,0.5331807309116307,0.5056701249026204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
novel,0.6776218720591386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
approach,0.5231993142313957,0.5039644397737195,0.5347989713470935,0.0,0.0,0.0,0.0,0.5041482217499846,0.0,0.0
imag,0.5231993142313957,0.0,0.6043969140412807,0.0,0.0,0.5626381484247684,0.0,0.0,0.5070379942050302,0.0
patient,0.5888109360295692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lack,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
gold,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standard,0.5231993142313957,0.507928879547439,0.0,0.0,0.0,0.0,0.5521984570206403,0.5041482217499846,0.0,0.0
allow,0.5271543901628413,0.509280614359452,0.0,0.0,0.0,0.0,0.0,0.5145662622727823,0.0,0.0
earli,0.5203446720123724,0.5034766211666712,0.5305170080185586,0.0,0.0,0.0,0.5152585040092793,0.0,0.0,0.5042254318794928
click,0.5231993142313957,0.0,0.0,0.0,0.5423230732599786,0.0,0.0,0.5290375522498927,0.0,0.5096366382191951
enlarg,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offer,0.5181635046854023,0.0,0.0,0.5114049913140899,0.0,0.5735621939758795,0.5136226285140517,0.5974333695044761,0.0,0.5037724202038912
opportun,0.5271543901628413,0.0,0.5814631704885237,0.0,0.0,0.0,0.0,0.5534096283335355,0.0,0.0
exist,0.5271543901628413,0.5139209215391781,0.0,0.0,0.0,0.0,0.0,0.5145662622727823,0.0,0.0
choos,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
enter,0.5203446720123724,0.5173831058333561,0.0,0.5127745614961408,0.0,0.0,0.0,0.5036377890353249,0.0,0.5042254318794928
newest,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option,0.5231993142313957,0.0,0.0,0.0,0.0,0.5313190742123842,0.0,0.5041482217499846,0.5035189971025151,0.0
avail,0.5610340160371172,0.5208597270000274,0.5610340160371172,0.0,0.0,0.0,0.0,0.5109133671059746,0.0,0.5084508637589855
major,0.5271543901628413,0.0,0.0,0.0,0.0,0.0,0.0,0.5145662622727823,0.5041189243505433,0.0
extens,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
target,0.5203446720123724,0.5034766211666712,0.0,0.5127745614961408,0.0,0.0,0.0,0.5327401013179238,0.0,0.5042254318794928
cell,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.517798935124782,0.0,0.0
as,0.5231993142313957,0.5039644397737195,0.0,0.0,0.0,0.0,0.0,0.5041482217499846,0.0,0.5096366382191951
result,0.5231993142313957,0.0,0.5347989713470935,0.0,0.0,0.0,0.0,0.5248893304999079,0.0,0.5192732764383903
may,0.5150172262262284,0.533361053198773,0.5225258393393425,0.6131530534255343,0.5054792582176779,0.5202732554054083,0.0,0.5429631902631168,0.0,0.5623792474012561
expect,0.5543087803256825,0.5046403071797261,0.0,0.0,0.0,0.0,0.0,0.5097108415151883,0.0,0.0
better,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.517798935124782,0.0,0.0
toler,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.524885548183723,0.0,0.0,0.0
form,0.5543087803256825,0.0,0.0,0.0,0.0,0.0,0.0,0.5291325245455648,0.5020594621752716,0.0
part,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.5497710963674459,0.0,0.0,0.0
cost,0.5203446720123724,0.0,0.0,0.0,0.0,0.0,0.5152585040092793,0.5181889451766243,0.5108009635121865,0.5042254318794928
associ,0.5203446720123724,0.0,0.5305170080185586,0.5127745614961408,0.0,0.0,0.5152585040092793,0.5109133671059746,0.0,0.0
treat,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
cover,0.5271543901628413,0.0,0.0,0.0,0.0,0.0,0.5203657926221309,0.5145662622727823,0.0,0.0
particip,0.5203446720123724,0.0,0.0,0.5127745614961408,0.0,0.0,0.0,0.5145511561412994,0.5015429947874552,0.5042254318794928
at,0.5271543901628413,0.5139209215391781,0.0,0.0,0.0,0.0,0.0,0.5048554207575942,0.0,0.0
open,0.5271543901628413,0.5139209215391781,0.0,0.0,0.0,0.0,0.0,0.5242771037879707,0.0,0.0
inform,0.5256721177985165,0.5372895635111363,0.5192540883488874,0.5241795528102307,0.5187337075827012,0.5693147180559945,0.5481352208722184,0.6216450349989308,0.5038940852840447,0.5106638027778453
unit,0.5164315406481649,0.5056158430063348,0.0,0.5206349580232769,0.0,0.0,0.5123236554861237,0.5264428104470468,0.5361401582233514,0.510238113788472
state,0.5150172262262284,0.5128311743072204,0.0,0.5282882633563836,0.5328755493060674,0.5405465108108164,0.545051678678685,0.5698151841775647,0.0,0.5093568871101884
pleas,0.5203446720123724,0.0,0.5305170080185586,0.0,0.5074230560045142,0.0,0.0,0.5109133671059746,0.5555478123483876,0.0
see,0.5231993142313957,0.0,0.0,0.0,0.0,0.0,0.5173994856735468,0.5041482217499846,0.5070379942050302,0.0
preclin,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trail,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
undertaken,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506891382573954
collabor,0.5814631704885237,0.5046403071797261,0.0,0.0,0.0,0.0,0.5407315852442619,0.0,0.0,0.0
univers,0.5271543901628413,0.0,0.6221947557327856,0.0,0.0,0.0,0.5203657926221309,0.0,0.0,0.0
veterinari,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
teach,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.5746566445511689,0.0,0.0,0.0
hospit,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other,0.5164315406481649,0.5056158430063348,0.5246473109722473,0.0,0.5059952918581142,0.0,0.0,0.5146904502483594,0.5049848494101175,0.5068254091923147
extramur,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
academ,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.599542192734892,0.0,0.0,0.0
pharmaceut,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industri,0.5231993142313957,0.5237866386423171,0.0,0.0,0.0,0.0,0.0,0.512444665249954,0.0,0.5096366382191951
focu,0.5888109360295692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simultan,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
assess,0.5231993142313957,0.5158577590948781,0.0,0.0,0.0,0.0,0.5173994856735468,0.5041482217499846,0.0,0.0
agent,0.5203446720123724,0.0,0.7746530721670275,0.5255491229922816,0.0,0.0,0.0,0.5036377890353249,0.0,0.5126762956384782
activ,0.5231993142313957,0.5792887954743904,0.0,0.0,0.0,0.0,0.0,0.5082964434999693,0.5052784956537726,0.0
valid,0.5543087803256825,0.0,0.0,0.0,0.0,0.0,0.5203657926221309,0.5097108415151883,0.0,0.0
surrog,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
endpoint,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
directli,0.5231993142313957,0.5039644397737195,0.0,0.0,0.0,0.0,0.5173994856735468,0.5041482217499846,0.0,0.0
futur,0.5271543901628413,0.0,0.0,0.0,0.0,0.0,0.0,0.538843366060753,0.51235677305163,0.0
effort,0.5363270093708047,0.5093116701235291,0.5272452570281035,0.0,0.0,0.0,0.5136226285140517,0.5064955579669651,0.0,0.5113172606116738
plan,0.5181635046854023,0.571389470947056,0.9904146265058631,0.0,0.0,0.0,0.554490514056207,0.5032477789834825,0.5041327075267348,0.0
outcom,0.5271543901628413,0.0,0.0,0.0,0.0,0.0,0.5203657926221309,0.5048554207575942,0.0,0.0
integr,0.5271543901628413,0.0,0.5407315852442619,0.0,0.0,0.0,0.5203657926221309,0.0,0.0,0.0
drug,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
deliveri,0.5331807309116307,0.5056701249026204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newli,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
becom,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.0,0.517798935124782,0.0,0.0
core,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resourc,0.5363270093708047,0.5124155601647054,0.5272452570281035,0.0,0.0,0.0,0.6498489136545693,0.5064955579669651,0.5013775691755783,0.0
faculti,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investig,0.5231993142313957,0.5039644397737195,0.0,0.0,0.0,0.0,0.0,0.5207411087499233,0.0,0.5192732764383903
within,0.5463986284627914,0.5237866386423171,0.0,0.0,0.0,0.0,0.0,0.5082964434999693,0.0,0.5048183191095976
interest,0.5231993142313957,0.0,0.5347989713470935,0.0,0.5084646146519958,0.0,0.0,0.5248893304999079,0.0,0.0
use,0.5415119112127901,0.511823012687187,0.5830238224255802,0.5173770791123308,0.0,0.537360720091511,0.5103779778031975,0.5890719154499602,0.5409288787519363,0.557478030910017
goal,0.5331807309116307,0.0,0.0,0.0,0.0,0.5447939867307013,0.0,0.0,0.0,0.0
character,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manag,0.5181635046854023,0.5124155601647054,0.0,0.5114049913140899,0.5265088987300467,0.0,0.5681131425702588,0.5032477789834825,0.0,0.0
involv,0.5181635046854023,0.5062077800823527,0.0,0.5342149739422695,0.0,0.0,0.5136226285140517,0.5292300108513428,0.0,0.5264069414272388
therapeut,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strategi,0.5331807309116307,0.0,0.0,0.0,0.0,0.0,0.5497710963674459,0.0,0.0,0.0
outsid,0.5331807309116307,0.5113402498052408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
increas,0.5203446720123724,0.5730090445000959,0.0,0.0,0.5222691680135427,0.0,0.5152585040092793,0.5109133671059746,0.0,0.0
awar,0.5231993142313957,0.5237866386423171,0.0,0.0,0.0,0.0,0.5173994856735468,0.537333995749862,0.0,0.0
chand,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
khanna,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
khannac,0.5444054680147846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
about,0.5271543901628413,0.0,0.0,0.0,0.0,0.0,0.5203657926221309,0.5291325245455648,0.0,0.0
employ,0.5271543901628413,0.509280614359452,0.0,0.0,0.0,0.0,0.0,0.5242771037879707,0.0,0.0
event,0.5231993142313957,0.5118933193211586,0.0,0.0,0.5169292293039914,0.0,0.0,0.512444665249954,0.0,0.0
site,0.5138373037375967,0.5094584101497497,0.520755955606395,0.5260656186684961,0.515146237874937,0.0,0.5311339334095926,0.5816492558291302,0.5010494584295369,0.520117310818506
privaci,0.5231993142313957,0.0,0.0,0.514567011261574,0.0,0.5313190742123842,0.0,0.5165928869999387,0.0,0.0
polici,0.5150172262262284,0.5051324697228882,0.0,0.0,0.5054792582176779,0.5202732554054083,0.5225258393393425,0.5026851993914448,0.5011389469328881,0.5031189623700628
access,0.5181635046854023,0.5403505705352926,0.0,0.5570249565704493,0.0,0.0,0.0,0.5129911159339301,0.5013775691755783,0.53017936163113
firstgov,0.5331807309116307,0.0,0.599542192734892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
depart,0.0,0.5076987045843322,0.5225258393393425,0.518858842237589,0.5054792582176779,0.6824592986486739,0.5225258393393425,0.5187963957401136,0.0,0.5124758494802513
transport,0.0,0.5303531047189667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feder,0.0,0.5208597270000274,0.0,0.6149710534652673,0.5074230560045142,0.0,0.0,0.6818894517662434,0.0,0.5676069100718837
transit,0.0,0.947708294604759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
administr,0.0,0.5208597270000274,0.0,0.0,0.5074230560045142,0.5274653072167027,0.5152585040092793,0.5072755780706497,0.0,0.0
safeti,0.0,0.5185612287189041,0.0,0.0,0.0,0.0,0.5407315852442619,0.5097108415151883,0.0,0.0
secur,0.0,0.8231971194493644,0.0,0.0,0.0,0.0,0.0,0.6186595674985467,0.0,0.0
logo,0.0,0.5028079215031674,0.5739419329167419,0.5103174790116384,0.5059952918581142,0.0,0.5246473109722473,0.5264428104470468,0.0,0.5034127045961573
repres,0.0,0.5118933193211586,0.0,0.0,0.0,0.5313190742123842,0.0,0.5207411087499233,0.0,0.5048183191095976
variou,0.0,0.5113402498052408,0.0,0.0,0.0,0.0,0.0,0.5059329783749273,0.0,0.0
mode,0.0,0.5170103747078613,0.0,0.0,0.0,0.0,0.0,0.0,0.5025165161084664,0.0
heavi,0.0,0.5056701249026204,0.5497710963674459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rail,0.0,0.522764828539225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
light,0.0,0.539690874318343,0.0,0.0,0.0,0.0,0.0,0.0,0.5025165161084664,0.0
bu,0.0,0.5531179332581918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trolley,0.0,0.5075882761797417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fta,0.0,0.644177247415092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
page,0.0,0.502566234861444,0.5225258393393425,0.5282882633563836,0.5109585164353558,0.5608197662162246,0.5112629196696712,0.5349075920887824,0.0,0.5093568871101884
graphic,0.0,0.5531179332581918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guidelin,0.0,0.5113402498052408,0.0,0.0,0.0,0.0,0.5497710963674459,0.0,0.0,0.0
best,0.0,0.5034766211666712,0.5305170080185586,0.0,0.0,0.5274653072167027,0.0,0.5218267342119493,0.5061719791498208,0.0
practic,0.0,0.5113402498052408,0.0,0.0,0.0,0.0,0.0,0.5237319134997094,0.0,0.0
emerg,0.0,0.689706904493542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.0,0.5278418430783562,0.0,0.0,0.5099076828972529,0.0,0.6221947557327856,0.0,0.0,0.0
tool,0.0,0.5056701249026204,0.0,0.0,0.5242129658003791,0.0,0.0,0.0,0.0,0.0
newslett,0.0,0.5075882761797417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weapon,0.0,0.5075882761797417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
